Item URL,Name,Price,Brand,Sizes,SKU,Categories,Description,All images URLs
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-retro-high-og-defiant/,Air Jordan 1 Retro High OG “Defiant”,17999.00,Jordans,"9, 11",N/A,"Jordans, Sneakers",N/A,"https://www.copunderdog.com/wp-content/uploads/2022/02/air-jordan-i-defiant-release-date.jpg, https://www.copunderdog.com/wp-content/uploads/2022/02/71ZC2OeUnIL._UL1500_.jpg"
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-mid-sired-red/,Air Jordan 1 Mid Sired Red,20000.00,Jordans,9-5,N/A,Jordans,"BRAND NEW
IN-STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/02/24.png
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-high-kabab-and-destroy/,Nike Dunk High Kabab And Destroy,20499.00,Nike,9,N/A,"Nike, Sneakers",IN-STORE READY TO SHIP,https://www.copunderdog.com/wp-content/uploads/2022/02/kabab.png
https://www.copunderdog.com/shop/sneakers/frame-skate-x-nike-sb-dunk-low-habibi/,Frame Skate x Nike SB Dunk Low “Habibi”,89999.00,Frame Skate x Nike SB Dunk Low “Habibi”,8,N/A,Sneakers,N/A,"https://www.copunderdog.com/wp-content/uploads/2022/02/Frame-Skate-x-Nike-SB-Dunk-Low-Habibi-Feature.jpg, https://www.copunderdog.com/wp-content/uploads/2022/02/Frame-Skate-x-Nike-SB-Dunk-Low-Habibi-2.jpg"
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-mid-particle-grey-gym-red/,Air Jordan 1 Mid Particle Grey / Gym Red,17999.00,Jordans,"6, 7, 8, 9, 10",N/A,"Jordans, Sneakers",N/A,https://www.copunderdog.com/wp-content/uploads/2022/02/38a3aff30db854dbfcaedce2be896613_1627491394.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-white-curry/,Air Jordan 1 Low White Curry,17999.00,Jordans,8,N/A,"Jordans, Sneakers",BRAND NEW,"https://www.copunderdog.com/wp-content/uploads/2022/02/35.png, https://www.copunderdog.com/wp-content/uploads/2022/02/SW.jpg"
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-mid-arctic-orange/,Air Jordan 1 Mid Arctic Orange,17999.00,Jordans,9-5,N/A,"Jordans, Sneakers",N/A,https://www.copunderdog.com/wp-content/uploads/2022/01/images-58.jpeg
https://www.copunderdog.com/shop/sneakers/nike/nike-air-force-1-low-white-lx-pendant-lucky-charms/,Nike Air Force 1 Low White LX Pendant “Lucky Charms”,14000.00,Nike,"4-5, 5-5, 6-5, 7-5",N/A,"Bae Section, Nike, Sneakers",N/A,https://www.copunderdog.com/wp-content/uploads/2022/02/14.png
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-mid-familia/,Air Jordan 1 Mid Familia,15999.00,Jordans,"10, 11",N/A,"Jordans, Sneakers","BRAND NEW
IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/02/air-jordan-1-mid-siempre-familia-dn4904-001-release-date.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-4-union-guava-ice/,Air Jordan 4 Union Guava Ice,85999.00,Jordans,9,N/A,"Jordans, Sneakers","BRAND NEW
IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/02/47.png
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-mid-university-gold/,Air Jordan 1 Mid University Gold,13999.00,Jordans,9,N/A,"Jordans, Sneakers",IN-STORE READY TO SHIP,https://www.copunderdog.com/wp-content/uploads/2022/02/g-mid.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-mid-coconut-milk/,Air Jordan 1 Mid Coconut/Milk,19999.00,Jordans,"8, 10, 11",N/A,"Jordans, Sneakers",BRAND NEW,"https://www.copunderdog.com/wp-content/uploads/2022/02/nut.jpg, https://www.copunderdog.com/wp-content/uploads/2022/02/15.png, https://www.copunderdog.com/wp-content/uploads/2022/02/coconut.jpg"
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-11-cool-grey/,Air Jordan 11 Cool Grey,25999.00,Jordans,"8, 11",N/A,"Jordans, Sneakers","BRAND NEW
IN-STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/02/34.png
https://www.copunderdog.com/shop/sneakers/jordans/off-white-x-air-jordan-5-muslin/,Off-White X Air Jordan 5 ‘MUSLIN’,81999.00,Jordans,10-5,N/A,"Jordans, Sneakers",IN-STORE READY TO SHIP,https://www.copunderdog.com/wp-content/uploads/2022/02/36.png
https://www.copunderdog.com/shop/sneakers/nike/parra-x-nike-sb-dunk-low/,Parra x Nike Sb Dunk Low “Abstract Art”,40999.00,Nike,"8, 9-5",N/A,"Nike, Sneakers",N/A,"https://www.copunderdog.com/wp-content/uploads/2022/02/images-25.jpeg, https://www.copunderdog.com/wp-content/uploads/2022/02/images-26.jpeg"
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-low-prm-cider/,Nike dunk low PRM “Cider”,19999.00,Nike,7,N/A,"Nike, Sneakers","BRAND NEW
IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/02/dunk-low-cider-release-date.jpg
https://www.copunderdog.com/shop/sneakers/adidas/adidas-pharrell-williams-human-race-nmd-blue/,Adidas Pharrell Williams Human Race Nmd Blue,34500.00,Adidas,7,N/A,"Adidas, Sneakers","PADS
IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/07/nmd-blue.jpg
https://www.copunderdog.com/shop/sneakers/nike/off-white-dunk-low-lot-28/,Off-White Dunk Low Lot 28,49999.00,Nike,8,N/A,"Nike, Sneakers","BRAND NEW
IN STORE READY TO SHIP","https://www.copunderdog.com/wp-content/uploads/2022/02/lot22.jpg, https://www.copunderdog.com/wp-content/uploads/2022/02/lot2.jpg, https://www.copunderdog.com/wp-content/uploads/2022/02/18.png, https://www.copunderdog.com/wp-content/uploads/2022/02/lot222.jpg"
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-low-racer-blue-orange/,Nike Dunk Low Racer Blue Orange,15999.00,Nike,"8, 9, 10",N/A,"Nike, Sneakers",BRAND NEW,"https://www.copunderdog.com/wp-content/uploads/2022/02/racer-2.jpg, https://www.copunderdog.com/wp-content/uploads/2022/02/racer-3.jpg, https://www.copunderdog.com/wp-content/uploads/2022/02/racer-4.jpg, https://www.copunderdog.com/wp-content/uploads/2022/02/racer-1.jpg"
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-low-unc/,Nike Dunk Low UNC,29999.00,Nike,"8, 9, 10",N/A,"Nike, Sneakers","BRAND NEW
IN-STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/02/dunk-low-university-blue-release-date.jpeg
https://www.copunderdog.com/shop/sneakers/adidas/adidas-pharrell-williams-human-race-nmd-black/,Adidas Pharrell Williams Human Race Nmd Black,50000.00,Adidas,8,N/A,"Adidas, Sneakers","BRAND NEW
IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/07/nmd-black.jpg
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-high-team-red/,Nike Dunk High Team Red,19500.00,Nike,7,N/A,"Nike, Sneakers","BRAND NEW
IN-STORE READY TO SHIP","https://www.copunderdog.com/wp-content/uploads/2022/02/20.png, https://www.copunderdog.com/wp-content/uploads/2021/06/nike-w-dunk-high-team-red_16679756_32729337_1000.png, https://www.copunderdog.com/wp-content/uploads/2021/06/nike-w-dunk-high-team-red_16679756_32729336_1000.png"
https://www.copunderdog.com/shop/sneakers/nike-dunk-low-archeo-pink/,Nike Dunk Low Archeo Pink,19999.00,Nike Dunk Low Archeo Pink,"5, 6",N/A,Sneakers,"BRAND NEW
IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/10/arch-pink.jpg
https://www.copunderdog.com/shop/sneakers/jordans/nike-dunk-low-court-purple/,Nike Dunk Low Court Purple,20999.00,Jordans,"7, 8, 9, 10",N/A,"Jordans, Sneakers","BRAND NEW
IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/02/dunk-low-championship-court-purple-dd1391-104-release-date.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/dunk-low-wolf-grey/,Nike Dunk Low Wolf Grey Pure Platinum,19999.00,Jordans,"7, 8, 10",N/A,"Jordans, Sneakers","BRAND NEW
IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/02/dunk-low-retro-pure-platinum-dj6188-001-release-date.jpeg
https://www.copunderdog.com/shop/sneakers/adidas/adidas-pharrell-williams-hu-nmd-noble-ink/,Adidas Pharrell Williams Hu Nmd Noble Ink,22999.00,Adidas,8,N/A,"Adidas, Sneakers",The NMD Noble Ink uses a multicolour primeknit upper that promises comfort and ease. The upper features the words “Body” and “Earth” on each foot embroidered in white. The pair is completed with a yellow collar and lace cage providing perfect contrast and character to the runner.,"https://www.copunderdog.com/wp-content/uploads/2021/04/pharrell-adidas-nmd-hu-trail-noble-ink-top.jpeg, https://www.copunderdog.com/wp-content/uploads/2021/04/Adobe_Post_20210412_1904240.2849964342496052.png, https://www.copunderdog.com/wp-content/uploads/2021/04/pharrell-adidas-nmd-hu-trail-noble-ink-toe.jpeg, https://www.copunderdog.com/wp-content/uploads/2021/04/pharrell-adidas-nmd-hu-trail-noble-ink-cage.jpeg"
https://www.copunderdog.com/shop/sneakers/adidas/adidas-originals-falcon-gold/,Adidas Originals Falcon Gold,4999.00,Adidas,6,N/A,"Adidas, Sneakers",N/A,https://www.copunderdog.com/wp-content/uploads/2021/02/Adobe_Post_20210204_1757370.38011740702423125.png
