Link,Name,Rating,Number of Rating,Description,Address,Offer Price,Original Price,Offer Percent,Latitude,Longitude,Guest Policy,Room Types
https://www.oyorooms.com/48947/,OYO 28093 Royal Sand,4.1 ,1248 ,"OYO 28093 Royal Sand is a budget hotel that has all the standard amenities that you would expect from a hotel at this price. The hotel is located in Mysore, Karnataka, 4 km from Mysore Palace, and 5 km from Sri Chamarajendra Zoological Gardens.","Near Mysuru University, Vinayaka Nagara, Mysuru",1867,3557,47,12.317112,76.62735,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Royal Sand as per quality standards of OYO","['Saver Double (X)', 'Deluxe (3X)']"
https://www.oyorooms.com/103853/,OYO 73867 New Yeshas Residency,3.8 ,403 ,"At OYO 73867 New Yeshas Residency, you will experience the best value for your stay. You will be given standardised amenities that exceed your expectations.","00, Bogadi main Road, Bogadi, near Speech & Hearing Circle, Mysore",1014,1931,47,12.306385,76.612665,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).Only Indian Nationals allowedAs a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of New Yeshas Residency as per quality standards of OYO","['NON AC Saver', 'Classic (2X)', 'Deluxe (3X)']"
https://www.oyorooms.com/18588/,OYO 11615 Lotus Inn,3.9 ,5 ,"Did you know that we’ve got 2.5 Crore bookings since March 2020? And this is all thanks to the sanitisation & safety measures followed at our properties, from disinfecting surfaces with high-quality cleaning products and maintaining social distance to using protective gear and more.","Near GLN Convectional Hall, Bogadi, Mysore",2140,4077,47,12.304579,76.602825,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Lotus Inn as per quality standards of OYO",['Deluxe (3X)']
https://www.oyorooms.com/168564/,Capital O 85320 Sonika Comforts,3.6 ,36 ,,"1, Ring Road, Alanahalli, Uttanahalli, Mysore",1149,2529,54,12.2592120926675,76.6806678660214,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Sonika Comforts as per quality standards of OYO",['Classic with Mountain View']
https://www.oyorooms.com/111533/,OYO 80001 VP inn,3.7 ,137 ,,"001, Gokulam, Mysuru, Mysuru taluk, Mysuru district, Mysore",1653,3148,47,12.3302299543233,76.6304683126509,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of VP inn as per quality standards of OYO",['Classic (2X)']
https://www.oyorooms.com/114762/,Collection O 82654 Heera Suites,3.0 ,91 ,"Collection O 82654 Heera Suites is located in Mysore, Karnataka. It is 4 km from Mysore Palace and 5 km from Sri Chamarajendra Zoological Gardens."," ., Nelson Mandela Road, Yadavagiri, Mysuru, Mysore",2358,4491,47,12.338583,76.651389,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuest need valid address and ID proof with a different city than MysoreAs a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Heera Suites as per quality standards of OYO",['Classic (2X)']
https://www.oyorooms.com/170583/,OYO 86008 Slv Residency,,,,"2, Ring Road, Alanahalli, Mysore",1327,2528,47,12.3031050994383,76.7043386958539,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Slv Residency as per quality standards of OYO",['Classic (2X)']
https://www.oyorooms.com/172205/,SPOT ON 86553 Manasu Arcade,4.5 ,21 ,,"62, Hebbalu, Mysuru, Mysuru taluk, Mysuru district, Karnataka, 570001, India, Mysore",1001,1907,47,12.350855114854,76.6075743176043,"Check-in 12:00 PMCheck-out 11:00 AMCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Manasu Arcade as per quality standards of OYO",['SPOT ON NON-AC']
https://www.oyorooms.com/115410/,OYO Flagship 83219 Thanmay Comforts,3.0 ,4 ,,"1, Kozhikode - Kollegal Highway, Indavalu, Tirumakudalu Narasipura taluk, Mysuru district, Karnataka, India, Mysore",1452,2765,47,12.2781055883339,76.7306585423648,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Thanmay Comforts as per quality standards of OYO",['Classic with Mountain View']
https://www.oyorooms.com/40252/,OYO 17057 Narayani Residency,3.9 ,380 ,"Did you know that we’ve got 2.5 Crore bookings since March 2020? And this is all thanks to the sanitisation & safety measures followed at our properties, from disinfecting surfaces with high-quality cleaning products and maintaining social distance to using protective gear and more.","Lakshmikanth Nagar, Mysore",1314,2502,47,12.35145,76.604696,"Check-in 12:00 PMCheck-out 11:00 AMRT-PCR of last 72 hours is Mandatory for all Guests; Double Dose Vaccination is Mandatory of all GuestsCouples are welcomeGuests can check in using any local or outstation ID proof (PAN card not accepted).As a complimentary benefit, your stay is now insured by Acko.This hotel is serviced under the trade name of Narayani Residency  as per quality standards of OYO","['Classic (2X)', 'Saver Double (X)']"
